"Class","Subclass","Variable"
"Glycerolipids"," Glycosyldiradylglycerols","Glycosylalkylacylglycerols"
"Glycerolipids"," Glycosyldiradylglycerols","Glycosyldialkylglycerols"
"Glycerophospholipids"," Glycerophosphocholines","Diacylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphocholines","1-alkyl,2-acylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphocholines","1-acyl,2-alkylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphocholines","1-(1Z-alkenyl),2-acylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphocholines","Dialkylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphocholines","Monoacylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphocholines","Monoalkylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphocholines","1Z-alkenylglycerophosphocholines"
"Glycerophospholipids"," Glycerophosphoethanolamines","Diacylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoethanolamines","1-alkyl,2-acylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoethanolamines","1-acyl,2-alkylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoethanolamines","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoethanolamines","Dialkylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoethanolamines","Monoacylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoethanolamines","Monoalkylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoethanolamines","1Z-alkenylglycerophosphoethanolamines"
"Glycerophospholipids"," Glycerophosphoserines","Diacylglycerophosphoserines"
"Glycerophospholipids"," Glycerophosphoserines","1-alkyl,2-acylglycerophosphoserines"
"Glycerophospholipids"," Glycerophosphoserines","1-(1Z-alkenyl),2-acylglycerophosphoserines"
"Glycerophospholipids"," Glycerophosphoserines","Dialkylglycerophosphoserines"
"Glycerophospholipids"," Glycerophosphoserines","Monoacylglycerophosphoserines"
"Glycerophospholipids"," Glycerophosphoserines","Monoalkylglycerophosphoserines"
"Glycerophospholipids"," Glycerophosphoserines","1Z-alkenylglycerophosphoserines"
"Glycerophospholipids"," Glycerophosphoglycerols","Diacylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","1-alkyl,2-acylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","1-acyl,2-alkylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","1-(1Z-alkenyl),2-acylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","Dialkylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","Monoacylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","Monoalkylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","1Z-alkenylglycerophosphoglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","Diacylglycerophosphodiradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","Diacylglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerols","Monoacylglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphates","Diacylglycerophosphoglycerophosphates"
"Glycerophospholipids"," Glycerophosphoglycerophosphates","1-alkyl,2-acylglycerophosphoglycerophosphates"
"Glycerophospholipids"," Glycerophosphoglycerophosphates","1-(1Z-alkenyl),2-acylglycerophosphoglycerophosphates"
"Glycerophospholipids"," Glycerophosphoglycerophosphates","Dialkylglycerophosphoglycerophosphates"
"Glycerophospholipids"," Glycerophosphoglycerophosphates","Monoacylglycerophosphoglycerophosphates"
"Glycerophospholipids"," Glycerophosphoglycerophosphates","Monoalkylglycerophosphoglycerophosphates"
"Glycerophospholipids"," Glycerophosphoglycerophosphates","1Z-alkenylglycerophosphoglycerophosphates"
"Glycerophospholipids"," Glycerophosphoinositols","Diacylglycerophosphoinositols"
"Glycerophospholipids"," Glycerophosphoinositols","1-alkyl,2-acylglycerophosphoinositols"
"Glycerophospholipids"," Glycerophosphoinositols","1-(1Z-alkenyl),2-acylglycerophosphoinositols"
"Glycerophospholipids"," Glycerophosphoinositols","Dialkylglycerophosphoinositols"
"Glycerophospholipids"," Glycerophosphoinositols","Monoacylglycerophosphoinositols"
"Glycerophospholipids"," Glycerophosphoinositols","Monoalkylglycerophosphoinositols"
"Glycerophospholipids"," Glycerophosphoinositols","1Z-alkenylglycerophosphoinositols"
"Glycerophospholipids"," Glycerophosphoinositol monophosphates","Diacylglycerophosphoinositol monophosphates"
"Glycerophospholipids"," Glycerophosphoinositol monophosphates","1-alkyl,2-acylglycerophosphoinositol monophosphates"
"Glycerophospholipids"," Glycerophosphoinositol monophosphates","1-(1Z-alkenyl),2-acylglycerophosphoinositol monophosphates"
"Glycerophospholipids"," Glycerophosphoinositol monophosphates","Dialkylglycerophosphoinositol monophosphates"
"Glycerophospholipids"," Glycerophosphoinositol monophosphates","Monoacylglycerophosphoinositol monophosphates"
"Glycerophospholipids"," Glycerophosphoinositol monophosphates","Monoalkylglycerophosphoinositol monophosphates"
"Glycerophospholipids"," Glycerophosphoinositol monophosphates","1Z-alkenylglycerophosphoinositol monophosphates"
"Glycerophospholipids"," Glycerophosphoinositol bisphosphates","Diacylglycerophosphoinositol bisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol bisphosphates","1-alkyl,2-acylglycerophosphoinositol bisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol bisphosphates","1-(1Z-alkenyl),2-acylglycerophosphoinositol bisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol bisphosphates","Monoacylglycerophosphoinositol bisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol bisphosphates","Monoalkylglycerophosphoinositol bisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol bisphosphates","1Z-alkenylglycerophosphoinositol bisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol trisphosphates","Diacylglycerophosphoinositol trisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol trisphosphates","1-alkyl,2-acylglycerophosphoinositol trisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol trisphosphates","1-(1Z-alkenyl),2-acylglycerophosphoinositol trisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol trisphosphates","Monoacylglycerophosphoinositol trisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol trisphosphates","Monoalkylglycerophosphoinositol trisphosphates"
"Glycerophospholipids"," Glycerophosphoinositol trisphosphates","1Z-alkenylglycerophosphoinositol trisphosphates"
"Glycerophospholipids"," Glycerophosphates","Diacylglycerophosphates"
"Glycerophospholipids"," Glycerophosphates","1-alkyl,2-acylglycerophosphates"
"Glycerophospholipids"," Glycerophosphates","1-(1Z-alkenyl),2-acylglycerophosphates"
"Glycerophospholipids"," Glycerophosphates","Dialkylglycerophosphates"
"Glycerophospholipids"," Glycerophosphates","Monoacylglycerophosphates"
"Glycerophospholipids"," Glycerophosphates","Monoalkylglycerophosphates"
"Glycerophospholipids"," Glycerophosphates","1Z-alkenylglycerophosphates"
"Glycerophospholipids"," Glyceropyrophosphates","Diacylglyceropyrophosphates"
"Glycerophospholipids"," Glyceropyrophosphates","Monoacylglyceropyrophosphates"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","Diacylglycerophosphoglycerophosphodiradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","Diacylglycerophosphoglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","1-alkyl,2-acylglycerophosphoglycerophosphodiradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","1-alkyl,2-acylglycerophosphoglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","1-(1Z-alkenyl),2-acylglycerophosphoglycerophosphodiradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","1-(1Z-alkenyl),2-acylglycerophosphoglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","Dialkylglycerophosphoglycerophosphodiradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","Dialkylglycerophosphoglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","Monoacylglycerophosphoglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","Monoalkylglycerophosphoglycerophosphodiradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","Monoalkylglycerophosphoglycerophosphomonoradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","1Z-alkenylglycerophosphoglycerophosphodiradylglycerols"
"Glycerophospholipids"," Glycerophosphoglycerophosphoglycerols","1Z-alkenylglycerophosphoglycerophosphomonoradylglycerols"
"Glycerophospholipids"," CDP-Glycerols","CDP-diacylglycerols"
"Glycerophospholipids"," CDP-Glycerols","CDP-1-alkyl,2-acylglycerols"
"Glycerophospholipids"," CDP-Glycerols","CDP-1-(1Z-alkenyl),2-acylglycerols"
"Glycerophospholipids"," CDP-Glycerols","CDP-Dialkylglycerols"
"Glycerophospholipids"," CDP-Glycerols","CDP-Monoacylglycerols"
"Glycerophospholipids"," CDP-Glycerols","CDP-Monoalkylglycerols"
"Glycerophospholipids"," CDP-Glycerols","CDP-1Z-alkenylglycerols"
"Glycerophospholipids"," Glycosylglycerophospholipids","Diacylglycosylglycerophospholipids"
"Glycerophospholipids"," Glycosylglycerophospholipids","1-alkyl,2-acylglycosylglycerophospholipids"
"Glycerophospholipids"," Glycosylglycerophospholipids","1-(1Z-alkenyl),2-acylglycosylglycerophospholipids"
"Glycerophospholipids"," Glycosylglycerophospholipids","Dialkylglycosylglycerophospholipids"
"Glycerophospholipids"," Glycosylglycerophospholipids","Monoacylglycosylglycerophospholipids"
"Glycerophospholipids"," Glycosylglycerophospholipids","Monoalkylglycosylglycerophospholipids"
"Glycerophospholipids"," Glycosylglycerophospholipids","1Z-alkenylglycosylglycerophospholipids"
"Glycerophospholipids"," Glycerophosphoinositolglycans","Diacylglycerophosphoinositolglycans"
"Glycerophospholipids"," Glycerophosphoinositolglycans","1-alkyl,2-acylglycerophosphoinositolglycans"
"Glycerophospholipids"," Glycerophosphoinositolglycans","1-(1Z-alkenyl),2-acylglycerophosphoinositolglycans"
"Glycerophospholipids"," Glycerophosphoinositolglycans","Dialkylglycerophosphoinositolglycans"
"Glycerophospholipids"," Glycerophosphoinositolglycans","Monoacylglycerophosphoinositolglycans"
"Glycerophospholipids"," Glycerophosphoinositolglycans","Monoalkylglycerophosphoinositolglycans"
"Glycerophospholipids"," Glycerophosphoinositolglycans","1Z-alkenylglycerophosphoinositolglycans"
"Glycerophospholipids"," Glycerophosphonocholines","Diacylglycerophosphonocholines"
"Glycerophospholipids"," Glycerophosphonocholines","1-alkyl,2-acylglycerophosphonocholines"
"Glycerophospholipids"," Glycerophosphonocholines","1-(1Z-alkenyl),2-acylglycerophosphonocholines"
"Glycerophospholipids"," Glycerophosphonocholines","Dialkylglycerophosphonocholines"
"Glycerophospholipids"," Glycerophosphonocholines","Monoacylglycerophosphonocholines"
"Glycerophospholipids"," Glycerophosphonocholines","Monoalkylglycerophosphonocholines"
"Glycerophospholipids"," Glycerophosphonocholines","1Z-alkenylglycerophosphonocholines"
"Glycerophospholipids"," Glycerophosphonoethanolamines","Diacylglycerophosphonoethanolamines"
"Glycerophospholipids"," Glycerophosphonoethanolamines","1-alkyl,2-acylglycerophosphonoethanolamines"
"Glycerophospholipids"," Glycerophosphonoethanolamines","1-(1Z-alkenyl),2-acylglycerophosphonoethanolamines"
"Glycerophospholipids"," Glycerophosphonoethanolamines","Dialkylglycerophosphonoethanolamines"
"Glycerophospholipids"," Glycerophosphonoethanolamines","Monoacylglycerophosphonoethanolamines"
"Glycerophospholipids"," Glycerophosphonoethanolamines","Monoalkylglycerophosphonoethanolamines"
"Glycerophospholipids"," Glycerophosphonoethanolamines","1Z-alkenylglycerophosphonoethanolamines"
"Glycerophospholipids"," Oxidized glycerophospholipids","Oxidized glycerophosphocholines"
"Glycerophospholipids"," Oxidized glycerophospholipids","Oxidized glycerophosphoethanolamines"
"Glycerophospholipids"," Oxidized glycerophospholipids","Oxidized glycerophosphoserines"
"Glycerophospholipids"," Oxidized glycerophospholipids","Oxidized glycerophosphoinositols"
"Glycerophospholipids"," Oxidized glycerophospholipids","Oxidized glycerophosphates"
"Glycerophospholipids"," Oxidized glycerophospholipids","Oxidized glycerophosphoglycerols"
"Glycerophospholipids"," Oxidized glycerophospholipids","Oxidized Cardiolipins"
"Sphingolipids"," Sphingoid bases","Sphing-4-enines (Sphingosines)"
"Sphingolipids"," Sphingoid bases","Sphinganines"
"Sphingolipids"," Sphingoid bases","4-Hydroxysphinganines (Phytosphingosines)"
"Sphingolipids"," Sphingoid bases","Sphingoid base homologs and variants"
"Sphingolipids"," Sphingoid bases","Sphingoid base 1-phosphates"
"Sphingolipids"," Sphingoid bases","Lysosphingomyelins and lysoglycosphingolipids"
"Sphingolipids"," Sphingoid bases","N-methylated sphingoid bases"
"Sphingolipids"," Sphingoid bases","Sphingoid base analogs"
"Sphingolipids"," Ceramides","N-acylsphingosines (ceramides)"
"Sphingolipids"," Ceramides","N-acylsphinganines (dihydroceramides)"
"Sphingolipids"," Ceramides","N-acyl-4-hydroxysphinganines (phytoceramides)"
"Sphingolipids"," Ceramides","Acylceramides"
"Sphingolipids"," Ceramides","Ceramide 1-phosphates"
"Sphingolipids"," Phosphosphingolipids","Ceramide phosphocholines (sphingomyelins)"
"Sphingolipids"," Phosphosphingolipids","Ceramide phosphoethanolamines"
"Sphingolipids"," Phosphosphingolipids","Ceramide phosphoinositols"
"Sphingolipids"," Neutral glycosphingolipids","Simple Glc series"
"Sphingolipids"," Neutral glycosphingolipids","Galα1-4Galβ1-4Glc- (Globo series)"
"Sphingolipids"," Neutral glycosphingolipids","GalNAcβ1-4Galβ1-4Glc- (Ganglio series)"
"Sphingolipids"," Neutral glycosphingolipids","Galβ1-3GlcNAcβ1-3Galβ1-4Glc- (Lacto series)"
"Sphingolipids"," Neutral glycosphingolipids","Galβ1-4GlcNAcβ1-3Galβ1-4Glc- (Neolacto series)"
"Sphingolipids"," Neutral glycosphingolipids","Galα1-3Galβ1-4Glc- (Isoglobo series)"
"Sphingolipids"," Neutral glycosphingolipids","Manα1-3Manβ1-4Glc- (Mollu series)"
"Sphingolipids"," Neutral glycosphingolipids","GlcNAcβ1-3Manβ1-4Glc- (Arthro series)"
"Sphingolipids"," Neutral glycosphingolipids","Gal- (Gala series)"
"Sphingolipids"," Neutral glycosphingolipids","Other Neutral glycosphingolipids"
"Sphingolipids"," Acidic glycosphingolipids","Gangliosides"
"Sphingolipids"," Acidic glycosphingolipids","Sulfoglycosphingolipids (sulfatides)"
"Sphingolipids"," Acidic glycosphingolipids","Glucuronosphingolipids"
"Sphingolipids"," Acidic glycosphingolipids","Phosphoglycosphingolipids"
"Sphingolipids"," Acidic glycosphingolipids","Other Acidic glycosphingolipids"
"Sterol Lipids"," Sterols","Cholesterol and derivatives"
"Sterol Lipids"," Sterols","Sterol esters"
"Sterol Lipids"," Sterols","Ergosterols and C24-methyl derivatives"
"Sterol Lipids"," Sterols","Stigmasterols and C24-ethyl derivatives"
"Sterol Lipids"," Sterols","C24-propyl sterols and derivatives"
"Sterol Lipids"," Sterols","Gorgosterols and derivatives"
"Sterol Lipids"," Sterols","Furostanols and derivatives"
"Sterol Lipids"," Sterols","Spirostanols and derivatives"
"Sterol Lipids"," Sterols","Furospirostanols and derivatives"
"Sterol Lipids"," Sterols","Cycloartanols and derivatives"
"Sterol Lipids"," Sterols","Calysterols and cyclopropyl sidechain derivatives"
"Sterol Lipids"," Sterols","Cardanolides and derivatives"
"Sterol Lipids"," Sterols","Bufanolides and derivatives"
"Sterol Lipids"," Sterols","Brassinolides and derivatives"
"Sterol Lipids"," Sterols","Solanidines and alkaloid derivatives"
"Sterol Lipids"," Sterols","Withanolides and derivatives"
"Sterol Lipids"," Steroids","C18 steroids (estrogens) and derivatives"
"Sterol Lipids"," Steroids","C19 steroids (androgens) and derivatives"
"Sterol Lipids"," Steroids","C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives"
"Sterol Lipids"," Secosteroids","Vitamin D2 and derivatives"
"Sterol Lipids"," Secosteroids","Vitamin D3 and derivatives"
"Sterol Lipids"," Secosteroids","Vitamin D4 and derivatives"
"Sterol Lipids"," Secosteroids","Vitamin D5 and derivatives"
"Sterol Lipids"," Secosteroids","Vitamin D6 and derivatives"
"Sterol Lipids"," Secosteroids","Vitamin D7 and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C22 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C23 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C24 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C25 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C26 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C27 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C28 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Bile acids and derivatives","C29 bile acids, alcohols, and derivatives"
"Sterol Lipids"," Steroid conjugates","Glucuronides"
"Sterol Lipids"," Steroid conjugates","Sulfates"
"Sterol Lipids"," Steroid conjugates","Glycine conjugates"
"Sterol Lipids"," Steroid conjugates","Taurine conjugates"
"Sterol Lipids"," Steroid conjugates","Other Steroid conjugates"
"Prenol Lipids"," Isoprenoids","C5 isoprenoids (hemiterpenes)"
"Prenol Lipids"," Isoprenoids"," C10 isoprenoids (monoterpenes)"
"Prenol Lipids"," Isoprenoids","Acyclic monoterpenoids"
"Prenol Lipids"," Isoprenoids","Irregular acyclic monoterpenoids"
"Prenol Lipids"," Isoprenoids","Halogenated dimethyloctane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Ochtodane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Ethyl,dimethylcyclohexane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Cyclopropane and cyclobutane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Iridoid, 10-alkyliridoid and secoiridoid monoterpenoids"
"Prenol Lipids"," Isoprenoids","Other cyclopentane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Menthane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Other cyclohexane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Cycloheptane monoterpenoids"
"Prenol Lipids"," Isoprenoids","Bicyclic monoterpenoids"
"Prenol Lipids"," Isoprenoids","Tricyclic monoterpenoids"
"Prenol Lipids"," Isoprenoids","Other monoterpenoids"
"Prenol Lipids"," Isoprenoids"," C15 isoprenoids (sesquiterpenes)"
"Prenol Lipids"," Isoprenoids","Acyclic farnesane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Furanoid farnesane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Irregular acyclic sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cyclobutane and cyclopentane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cyclofarnesane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Bisabolane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cyclobisabolane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Elemane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Germacrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Lepidozanes and bicyclogermacrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Humulane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Caryophyllane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Bicyclohumulane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cuparane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cyclolaurane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Herbertane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Laurane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Trichothecane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Eudesmane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Emmotin sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Oppositane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Farfugin sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cycloeudesmane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Gorgonane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Eremophilane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Chiloscyphane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Aristolane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Nardosinane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Brasilane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cacalol sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Valerane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Rearranged eudesmane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cadinane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Alliacane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Oplopane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Mutisianthol sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Drimane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Coloratane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Xanthane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Carabrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Guaiane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Pseudoguaiane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Aromadendrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cubebane and ivaxillarane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Patchoulane sesquiterpenoids"
